date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos,previous_balance_1,previous_amount_1,previous_other_1,previous_balance_2,previous_amount_2,previous_other_2,previous_balance_3,previous_amount_3,previous_other_3,previous_balance_4,previous_amount_4,previous_other_4,previous_balance_5,previous_amount_5,previous_other_5,previous_balance_6,previous_amount_6,previous_other_6
2020-05-31,9942.77,-6549.4,6159.29,1,9001Z,112,0.49999999999999994,-0.8660254037844387,2765.92,3322.2,-3264.85,2708.57,14914.74,-13781.9,1575.73,2996.1,-3966.97,2546.6,6768.75,-5571.71,1349.56,3678.02,-3886.84,0.1,0.0,0.0
2020-06-30,5369.01,-8339.84,3188.46,1,9001Z,112,1.2246467991473532e-16,-1.0,6159.29,9942.77,-6549.4,2765.92,3322.2,-3264.85,2708.57,14914.74,-13781.9,1575.73,2996.1,-3966.97,2546.6,6768.75,-5571.71,1349.56,3678.02,-3886.84
2020-07-31,3268.13,-5449.26,1007.33,1,9001Z,112,-0.4999999999999997,-0.8660254037844388,3188.46,5369.01,-8339.84,6159.29,9942.77,-6549.4,2765.92,3322.2,-3264.85,2708.57,14914.74,-13781.9,1575.73,2996.1,-3966.97,2546.6,6768.75,-5571.71
2020-08-31,6196.0,-6695.06,508.27,1,9001Z,112,-0.8660254037844385,-0.5000000000000004,1007.33,3268.13,-5449.26,3188.46,5369.01,-8339.84,6159.29,9942.77,-6549.4,2765.92,3322.2,-3264.85,2708.57,14914.74,-13781.9,1575.73,2996.1,-3966.97
2020-09-30,4812.09,-5786.02,-465.66,1,9001Z,112,-1.0,-1.8369701987210297e-16,508.27,6196.0,-6695.06,1007.33,3268.13,-5449.26,3188.46,5369.01,-8339.84,6159.29,9942.77,-6549.4,2765.92,3322.2,-3264.85,2708.57,14914.74,-13781.9
2019-12-31,5532.2,-5137.83,1017.4,2,4932Z,104,-2.4492935982947064e-16,1.0,623.03,4370.82,-5211.12,1463.33,4179.33,-5361.54,2645.54,6637.75,-5984.94,1992.73,7400.21,-4341.05,-1066.43,3763.63,-2330.06,0.1,0.0,0.0
2020-01-31,5531.11,-5605.9,942.61,2,4932Z,104,0.49999999999999994,0.8660254037844387,1017.4,5532.2,-5137.83,623.03,4370.82,-5211.12,1463.33,4179.33,-5361.54,2645.54,6637.75,-5984.94,1992.73,7400.21,-4341.05,-1066.43,3763.63,-2330.06
2020-02-29,3506.13,-4733.8,-285.06,2,4932Z,104,0.8660254037844386,0.5000000000000001,942.61,5531.11,-5605.9,1017.4,5532.2,-5137.83,623.03,4370.82,-5211.12,1463.33,4179.33,-5361.54,2645.54,6637.75,-5984.94,1992.73,7400.21,-4341.05
2020-03-31,3453.94,-3364.62,-195.74,2,4932Z,104,1.0,6.123233995736766e-17,-285.06,3506.13,-4733.8,942.61,5531.11,-5605.9,1017.4,5532.2,-5137.83,623.03,4370.82,-5211.12,1463.33,4179.33,-5361.54,2645.54,6637.75,-5984.94
2020-04-30,3602.32,-3131.51,275.07,2,4932Z,104,0.8660254037844387,-0.4999999999999998,-195.74,3453.94,-3364.62,-285.06,3506.13,-4733.8,942.61,5531.11,-5605.9,1017.4,5532.2,-5137.83,623.03,4370.82,-5211.12,1463.33,4179.33,-5361.54
2020-05-31,3940.67,-4169.97,45.77,2,4932Z,104,0.49999999999999994,-0.8660254037844387,275.07,3602.32,-3131.51,-195.74,3453.94,-3364.62,-285.06,3506.13,-4733.8,942.61,5531.11,-5605.9,1017.4,5532.2,-5137.83,623.03,4370.82,-5211.12
2020-06-30,5000.36,-4443.97,602.16,2,4932Z,104,1.2246467991473532e-16,-1.0,45.77,3940.67,-4169.97,275.07,3602.32,-3131.51,-195.74,3453.94,-3364.62,-285.06,3506.13,-4733.8,942.61,5531.11,-5605.9,1017.4,5532.2,-5137.83
2020-07-31,4746.42,-4285.87,1062.71,2,4932Z,104,-0.4999999999999997,-0.8660254037844388,602.16,5000.36,-4443.97,45.77,3940.67,-4169.97,275.07,3602.32,-3131.51,-195.74,3453.94,-3364.62,-285.06,3506.13,-4733.8,942.61,5531.11,-5605.9
2020-08-31,4106.18,-3098.42,2070.47,2,4932Z,104,-0.8660254037844385,-0.5000000000000004,1062.71,4746.42,-4285.87,602.16,5000.36,-4443.97,45.77,3940.67,-4169.97,275.07,3602.32,-3131.51,-195.74,3453.94,-3364.62,-285.06,3506.13,-4733.8
2020-09-30,2557.35,-4255.01,372.81,2,4932Z,104,-1.0,-1.8369701987210297e-16,2070.47,4106.18,-3098.42,1062.71,4746.42,-4285.87,602.16,5000.36,-4443.97,45.77,3940.67,-4169.97,275.07,3602.32,-3131.51,-195.74,3453.94,-3364.62
2020-06-30,1222.69,-545.21,1224.9,5,5320Z,143,1.2246467991473532e-16,-1.0,547.42,1980.24,-2058.52,625.7,1498.64,-1411.56,538.62,219.14,-56.59,376.07,493.28,-575.76,458.55,83.55,0.0,0.1,0.0,0.0
2020-07-31,25.0,-1298.74,-48.84,5,5320Z,143,-0.4999999999999997,-0.8660254037844388,1224.9,1222.69,-545.21,547.42,1980.24,-2058.52,625.7,1498.64,-1411.56,538.62,219.14,-56.59,376.07,493.28,-575.76,458.55,83.55,0.0
2020-08-31,63.71,-11.88,2.99,5,5320Z,143,-0.8660254037844385,-0.5000000000000004,-48.84,25.0,-1298.74,1224.9,1222.69,-545.21,547.42,1980.24,-2058.52,625.7,1498.64,-1411.56,538.62,219.14,-56.59,376.07,493.28,-575.76
2020-09-30,140.99,-143.88,0.1,5,5320Z,143,-1.0,-1.8369701987210297e-16,2.99,63.71,-11.88,-48.84,25.0,-1298.74,1224.9,1222.69,-545.21,547.42,1980.24,-2058.52,625.7,1498.64,-1411.56,538.62,219.14,-56.59
2019-11-30,3690.0,-3736.61,-6245.88,7,9101Z,35,-0.5000000000000004,0.8660254037844384,-6199.27,3180.0,-2212.2,-7167.07,4110.0,-4740.06,-6537.01,2330.0,-1861.37,-7005.64,2524.25,-2414.96,-7114.93,70.99,-17.0,0.1,0.0,0.0
2019-12-31,3660.0,-3598.62,-6184.5,7,9101Z,35,-2.4492935982947064e-16,1.0,-6245.88,3690.0,-3736.61,-6199.27,3180.0,-2212.2,-7167.07,4110.0,-4740.06,-6537.01,2330.0,-1861.37,-7005.64,2524.25,-2414.96,-7114.93,70.99,-17.0
2020-01-31,1750.0,-854.97,-5289.47,7,9101Z,35,0.49999999999999994,0.8660254037844387,-6184.5,3660.0,-3598.62,-6245.88,3690.0,-3736.61,-6199.27,3180.0,-2212.2,-7167.07,4110.0,-4740.06,-6537.01,2330.0,-1861.37,-7005.64,2524.25,-2414.96
2020-02-29,720.0,-1429.47,-5998.94,7,9101Z,35,0.8660254037844386,0.5000000000000001,-5289.47,1750.0,-854.97,-6184.5,3660.0,-3598.62,-6245.88,3690.0,-3736.61,-6199.27,3180.0,-2212.2,-7167.07,4110.0,-4740.06,-6537.01,2330.0,-1861.37
2020-03-31,1335.0,-2065.51,-6729.45,7,9101Z,35,1.0,6.123233995736766e-17,-5998.94,720.0,-1429.47,-5289.47,1750.0,-854.97,-6184.5,3660.0,-3598.62,-6245.88,3690.0,-3736.61,-6199.27,3180.0,-2212.2,-7167.07,4110.0,-4740.06
2020-04-30,690.0,-417.44,-6456.89,7,9101Z,35,0.8660254037844387,-0.4999999999999998,-6729.45,1335.0,-2065.51,-5998.94,720.0,-1429.47,-5289.47,1750.0,-854.97,-6184.5,3660.0,-3598.62,-6245.88,3690.0,-3736.61,-6199.27,3180.0,-2212.2
2020-05-31,10025.0,-6710.24,-3142.13,7,9101Z,35,0.49999999999999994,-0.8660254037844387,-6456.89,690.0,-417.44,-6729.45,1335.0,-2065.51,-5998.94,720.0,-1429.47,-5289.47,1750.0,-854.97,-6184.5,3660.0,-3598.62,-6245.88,3690.0,-3736.61
2020-06-30,7290.0,-6917.36,-2769.49,7,9101Z,35,1.2246467991473532e-16,-1.0,-3142.13,10025.0,-6710.24,-6456.89,690.0,-417.44,-6729.45,1335.0,-2065.51,-5998.94,720.0,-1429.47,-5289.47,1750.0,-854.97,-6184.5,3660.0,-3598.62
2020-07-31,8314.0,-5446.99,97.52,7,9101Z,35,-0.4999999999999997,-0.8660254037844388,-2769.49,7290.0,-6917.36,-3142.13,10025.0,-6710.24,-6456.89,690.0,-417.44,-6729.45,1335.0,-2065.51,-5998.94,720.0,-1429.47,-5289.47,1750.0,-854.97
2020-08-31,8341.0,-7537.47,901.05,7,9101Z,35,-0.8660254037844385,-0.5000000000000004,97.52,8314.0,-5446.99,-2769.49,7290.0,-6917.36,-3142.13,10025.0,-6710.24,-6456.89,690.0,-417.44,-6729.45,1335.0,-2065.51,-5998.94,720.0,-1429.47
2020-09-30,8187.0,-8314.85,773.2,7,9101Z,35,-1.0,-1.8369701987210297e-16,901.05,8341.0,-7537.47,97.52,8314.0,-5446.99,-2769.49,7290.0,-6917.36,-3142.13,10025.0,-6710.24,-6456.89,690.0,-417.44,-6729.45,1335.0,-2065.51
2020-06-30,8060.4,-1224.02,-27869.52,8,6201Z,172,1.2246467991473532e-16,-1.0,-34705.9,75.0,-411.15,-34369.75,7200.0,-336.66,-41233.09,300.0,-493.77,-41039.32,7200.0,-5083.24,-43156.08,1521.22,-288.13,0.1,0.0,0.0
2020-07-31,5200.0,-434.54,-23104.06,8,6201Z,172,-0.4999999999999997,-0.8660254037844388,-27869.52,8060.4,-1224.02,-34705.9,75.0,-411.15,-34369.75,7200.0,-336.66,-41233.09,300.0,-493.77,-41039.32,7200.0,-5083.24,-43156.08,1521.22,-288.13
2020-08-31,30160.12,-2293.9,4762.16,8,6201Z,172,-0.8660254037844385,-0.5000000000000004,-23104.06,5200.0,-434.54,-27869.52,8060.4,-1224.02,-34705.9,75.0,-411.15,-34369.75,7200.0,-336.66,-41233.09,300.0,-493.77,-41039.32,7200.0,-5083.24
2020-09-30,0.0,-1294.08,3468.08,8,6201Z,172,-1.0,-1.8369701987210297e-16,4762.16,30160.12,-2293.9,-23104.06,5200.0,-434.54,-27869.52,8060.4,-1224.02,-34705.9,75.0,-411.15,-34369.75,7200.0,-336.66,-41233.09,300.0,-493.77
