date,amount,amount_other,balance,account_id,business_NAF_code,user_id,month_sin,month_cos,month_week_sin,month_week_cos,previous_balance_1,previous_amount_1,previous_other_1,previous_balance_2,previous_amount_2,previous_other_2,previous_balance_3,previous_amount_3,previous_other_3,previous_balance_4,previous_amount_4,previous_other_4,previous_balance_5,previous_amount_5,previous_other_5,previous_balance_6,previous_amount_6,previous_other_6,previous_balance_7,previous_amount_7,previous_other_7,previous_balance_8,previous_amount_8,previous_other_8,previous_balance_9,previous_amount_9,previous_other_9,previous_balance_10,previous_amount_10,previous_other_10,previous_balance_11,previous_amount_11,previous_other_11,previous_balance_12,previous_amount_12,previous_other_12
2020-03-02,-26.79,2841.92,4167.65,1,9001Z,112,1.0,6.123233995736766e-17,0.5877852522924732,-0.8090169943749473,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44,1383.71,-899.92,935.15,1348.48,-1557.29,525.52,2380.25,-2242.39,2947.35,1675.29,-43.09,160.0,0.1,0.0,0.0
2020-03-09,-9231.79,6655.66,1591.52,1,9001Z,112,1.0,6.123233995736766e-17,-0.587785252292473,-0.8090169943749475,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44,1383.71,-899.92,935.15,1348.48,-1557.29,525.52,2380.25,-2242.39,2947.35,1675.29,-43.09,160.0
2020-03-16,-1104.05,987.26,1474.73,1,9001Z,112,1.0,6.123233995736766e-17,-0.9510565162951536,0.30901699437494723,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44,1383.71,-899.92,935.15,1348.48,-1557.29,525.52,2380.25,-2242.39,2947.35
2020-03-23,-1145.54,4280.9,4610.09,1,9001Z,112,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44,1383.71,-899.92,935.15,1348.48,-1557.29,525.52
2020-03-30,-2245.86,149.0,2513.23,1,9001Z,112,1.0,6.123233995736766e-17,0.9510565162951535,0.30901699437494773,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44,1383.71,-899.92,935.15
2020-04-06,-1192.02,1183.25,2504.46,1,9001Z,112,0.8660254037844387,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45,1603.19,-2584.96,2804.44
2020-04-13,-1543.05,1549.0,2510.41,1,9001Z,112,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24,1179.15,-826.49,402.45
2020-04-20,-250.45,470.0,2729.96,1,9001Z,112,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.30901699437494723,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62,1712.97,-556.42,1090.24
2020-04-27,-302.52,154.95,2582.39,1,9001Z,112,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45,2296.48,-998.11,1581.62
2020-05-04,-499.43,715.0,2797.96,1,9001Z,112,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71,1441.89,-1849.04,994.45
2020-05-11,-2576.13,2376.4,2598.23,1,9001Z,112,0.49999999999999994,-0.8660254037844387,-0.587785252292473,-0.8090169943749475,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94,1567.03,-1426.57,1551.71
2020-05-18,-707.13,786.76,2677.86,1,9001Z,112,0.49999999999999994,-0.8660254037844387,-0.9510565162951536,0.30901699437494723,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92,1352.52,-414.45,199.94
2020-05-25,-2377.38,2650.91,2951.39,1,9001Z,112,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66,4167.65,-26.79,2841.92
2020-06-01,-2420.8,3822.7,4353.29,1,9001Z,112,1.2246467991473532e-16,-1.0,0.9510565162951535,0.30901699437494745,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26,1591.52,-9231.79,6655.66
2020-06-08,-3997.69,2595.09,2950.69,1,9001Z,112,1.2246467991473532e-16,-1.0,0.5877852522924732,-0.8090169943749473,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9,1474.73,-1104.05,987.26
2020-06-15,-1043.48,1382.94,3290.15,1,9001Z,112,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0,4610.09,-1145.54,4280.9
2020-06-22,-531.63,297.0,3055.52,1,9001Z,112,1.2246467991473532e-16,-1.0,-0.9510565162951536,0.30901699437494723,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25,2513.23,-2245.86,149.0
2020-06-29,-730.79,786.93,3111.66,1,9001Z,112,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0,2504.46,-1192.02,1183.25
2020-07-06,-710.85,545.35,2946.16,1,9001Z,112,-0.4999999999999997,-0.8660254037844388,0.5877852522924732,-0.8090169943749473,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0,2510.41,-1543.05,1549.0
2020-07-13,-138.76,240.97,3048.37,1,9001Z,112,-0.4999999999999997,-0.8660254037844388,-0.587785252292473,-0.8090169943749475,2946.16,-710.85,545.35,3111.66,-730.79,786.93,3055.52,-531.63,297.0,3290.15,-1043.48,1382.94,2950.69,-3997.69,2595.09,4353.29,-2420.8,3822.7,2951.39,-2377.38,2650.91,2677.86,-707.13,786.76,2598.23,-2576.13,2376.4,2797.96,-499.43,715.0,2582.39,-302.52,154.95,2729.96,-250.45,470.0
